epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,69.7848,0.94371,0.98628,0.95542,0.79161,0,0.97346,1,0.97275,0.76089,0.92323,0.94872,0.90844,0.44349,0.92165,0.51613,1.11937,0.83189,0,0.0009308,0.0009308,0.0009308
29,72.2166,0.92542,0.92725,0.94981,0.79504,0,0.97171,1,0.974,0.75943,0.94667,0.97436,0.94394,0.50368,0.92098,0.53189,1.05487,0.83232,0,0.0008912,0.0008912,0.0008912
30,74.6238,0.91887,0.93453,0.88603,0.77105,0,0.97071,1,0.97525,0.74046,0.94572,0.97436,0.94498,0.45844,0.94315,0.5743,1.10061,0.83621,0,0.0008516,0.0008516,0.0008516
31,77.0328,0.86113,0.91652,0.87312,0.77984,0,0.97175,0.94872,0.96354,0.77039,0.94342,0.97436,0.94547,0.50377,0.86102,0.52987,1.04781,0.83691,0,0.000812,0.000812,0.000812
32,79.4521,0.88555,0.78996,0.85375,0.78232,0,0.9743,0.97217,0.95321,0.74413,0.96711,1,0.97325,0.5495,0.93372,0.50154,1.00121,0.84028,0,0.0007724,0.0007724,0.0007724
33,81.8408,0.89559,0.87448,0.83991,0.75429,0,0.97154,0.94872,0.9555,0.76455,0.89195,0.92308,0.89023,0.4901,0.89464,0.53697,0.93826,0.83582,0,0.0007328,0.0007328,0.0007328
34,84.2392,0.89379,0.91852,0.82576,0.7609,0,0.97169,0.94872,0.9555,0.76833,0.91951,0.94872,0.90633,0.48393,0.81993,0.52686,0.91907,0.83476,0,0.0006932,0.0006932,0.0006932
35,86.6204,0.90033,0.81246,0.81919,0.79045,0,0.9716,0.94872,0.95814,0.77579,0.94553,0.97436,0.93667,0.48846,0.86279,0.54146,0.94134,0.83247,0,0.0006536,0.0006536,0.0006536
36,89.0401,0.76911,0.90358,0.79234,0.77132,0,0.97428,0.97152,0.96516,0.7829,0.92172,0.94872,0.90149,0.46003,0.7771,0.65103,0.93979,0.83537,0,0.000614,0.000614,0.000614
37,91.4421,0.77174,0.89793,0.7753,0.77979,0,0.9474,0.97436,0.95896,0.77735,0.9474,0.97436,0.94822,0.49802,0.87601,0.6546,0.93547,0.83879,0,0.0005744,0.0005744,0.0005744
38,93.8401,0.83881,0.77667,0.77885,0.77949,0,0.94803,0.97436,0.97832,0.79137,0.94803,0.97436,0.95268,0.5116,0.77575,0.6065,0.90968,0.83482,0,0.0005348,0.0005348,0.0005348
39,96.2638,0.8077,0.84947,0.77669,0.77446,0,0.94847,0.97436,0.97955,0.79691,0.94847,0.97436,0.94991,0.49641,0.79145,0.52626,0.86662,0.83362,0,0.0004952,0.0004952,0.0004952
40,98.6547,0.81871,0.92294,0.75575,0.75801,0,0.94857,0.97436,0.97525,0.80493,0.94857,0.97436,0.94493,0.4488,0.85003,0.51655,0.87951,0.83023,0,0.0004556,0.0004556,0.0004556
41,102.036,0.79861,0.738,0.89635,0.79751,0,0.97327,1,0.98925,0.77894,0.94831,0.97436,0.947,0.40549,0.85239,0.53838,0.84079,0.83235,0,0.000416,0.000416,0.000416
42,104.41,0.75649,0.9286,0.88706,0.78522,0,0.94814,0.97436,0.97604,0.7694,0.92318,0.94872,0.91029,0.38504,0.91111,0.5301,0.89455,0.83471,0,0.0003764,0.0003764,0.0003764
43,106.765,0.72575,0.69529,0.81665,0.79201,0,0.97319,1,0.99075,0.78955,0.92325,0.94872,0.9137,0.4165,0.90461,0.49729,0.85782,0.83383,0,0.0003368,0.0003368,0.0003368
44,109.162,0.72115,0.73189,0.8459,0.76616,0,0.97326,1,0.99075,0.8065,0.9483,0.97436,0.95547,0.5016,0.86142,0.46437,0.83655,0.83449,0,0.0002972,0.0002972,0.0002972
45,111.546,0.74169,0.73668,0.89064,0.76654,0,0.94838,0.97436,0.97728,0.80212,0.94838,0.97436,0.9559,0.50135,0.84155,0.45652,0.85534,0.83335,0,0.0002576,0.0002576,0.0002576
46,113.944,0.74271,0.73426,0.80738,0.78661,0,0.94864,0.97436,0.9799,0.80532,0.94842,0.97436,0.95605,0.49549,0.81434,0.46314,0.85449,0.83132,0,0.000218,0.000218,0.000218
47,116.325,0.75135,0.66426,0.84451,0.77333,0,0.94925,0.97436,0.98078,0.80405,0.94843,0.97436,0.95489,0.48214,0.7801,0.47556,0.83897,0.83034,0,0.0001784,0.0001784,0.0001784
48,118.687,0.66075,0.65544,0.8025,0.75982,0,0.94837,0.97436,0.983,0.8089,0.94837,0.97436,0.9553,0.46387,0.77596,0.47405,0.8372,0.83219,0,0.0001388,0.0001388,0.0001388
49,121.078,0.7076,0.90573,0.78928,0.76773,0,0.94834,0.97436,0.98615,0.81723,0.94834,0.97436,0.95644,0.47443,0.76637,0.46673,0.82064,0.8312,0,9.92e-05,9.92e-05,9.92e-05
50,123.457,0.67347,0.81229,0.7511,0.78191,0,0.94831,0.97436,0.98769,0.82077,0.94831,0.97436,0.94659,0.46849,0.74903,0.46626,0.82709,0.8303,0,5.96e-05,5.96e-05,5.96e-05
