epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
12,34.7062,1.11857,0.9547,1.71956,0.7437,0,0.97427,0.97082,0.9875,0.61586,0.9228,0.91954,0.90511,0.3421,1.30745,0.73194,1.862,0.87097,0,0.0015644,0.0015644,0.0015644
13,37.4114,1.20556,1.0251,1.48137,0.78837,0,0.97422,0.9692,0.96372,0.73934,0.92287,0.92046,0.92472,0.47258,0.98988,0.77797,1.64081,0.83505,0,0.0015248,0.0015248,0.0015248
14,40.1317,1.17775,1.2724,1.45695,0.78736,0,0.97419,0.96811,0.96192,0.71416,0.92281,0.91966,0.90575,0.41107,1.07009,0.79876,1.64149,0.83728,0,0.0014852,0.0014852,0.0014852
15,42.8246,1.11368,1.33153,1.42582,0.81066,0,0.97428,0.97139,0.96654,0.72084,0.89839,0.90701,0.86058,0.36208,1.04891,0.90461,1.51088,0.83571,0,0.0014456,0.0014456,0.0014456
16,45.5239,1.12304,0.91818,1.23333,0.77551,0,0.97434,0.97359,0.96717,0.72279,0.92487,0.94698,0.89278,0.32305,1.1208,0.74419,1.34712,0.83827,0,0.001406,0.001406,0.001406
17,48.2296,0.94859,1.14175,1.22775,0.74777,0,0.97435,0.974,0.96709,0.74283,0.89997,0.92278,0.88298,0.34583,1.05261,0.78107,1.27661,0.83307,0,0.0013664,0.0013664,0.0013664
18,50.903,1.12001,1.12439,1.21761,0.78283,0,0.97434,0.97346,0.96115,0.72767,0.87446,0.89744,0.81091,0.38339,1.0149,0.9023,1.27804,0.83599,0,0.0013268,0.0013268,0.0013268
19,53.5934,1.01684,0.86086,1.06851,0.7986,0,0.97431,0.97259,0.96462,0.76053,0.89727,0.89586,0.86695,0.37105,0.85525,0.98343,1.15065,0.82434,0,0.0012872,0.0012872,0.0012872
20,56.2952,0.97563,0.84236,1.1354,0.75937,0,0.97429,0.97171,0.97167,0.762,0.94758,0.97436,0.95127,0.38042,0.88043,0.91806,1.14053,0.82627,0,0.0012476,0.0012476,0.0012476
21,58.9576,1.0259,0.90009,1.00333,0.7954,0,0.9743,0.97198,0.96974,0.77575,0.94691,0.97436,0.94563,0.43265,0.93828,1.17754,1.09055,0.82633,0,0.001208,0.001208,0.001208
22,61.6565,0.96171,1.01808,1.02644,0.80431,0,0.97432,0.97282,0.96978,0.77268,0.92315,0.94872,0.88785,0.33498,0.83194,0.92953,1.05755,0.8298,0,0.0011684,0.0011684,0.0011684
23,64.3727,0.97134,1.08199,0.91546,0.78779,0,0.97324,0.97436,0.96479,0.7718,0.92426,0.94872,0.88221,0.41327,0.81584,1.19876,1.02773,0.8226,0,0.0011288,0.0011288,0.0011288
24,67.0751,0.86006,1.06528,0.89138,0.76515,0,0.97386,1,0.97975,0.75256,0.97386,1,0.97975,0.44417,0.88969,0.55042,0.968,0.83344,0,0.0010892,0.0010892,0.0010892
25,69.7563,0.85503,0.91236,0.81551,0.78578,0,0.9729,1,0.983,0.76831,0.89784,0.92308,0.87888,0.36899,0.74853,0.57963,0.86707,0.82548,0,0.0010496,0.0010496,0.0010496
26,72.4692,0.93239,1.00759,0.8229,0.77477,0,0.97142,0.94872,0.97034,0.7581,0.89521,0.92308,0.90811,0.43043,0.92346,0.67692,0.85405,0.82952,0,0.00101,0.00101,0.00101
27,75.1528,0.96957,0.94682,0.88077,0.74831,0,0.94592,0.97436,0.96561,0.75619,0.97081,1,0.98625,0.42366,0.88108,0.63499,0.92523,0.82497,0,0.0009704,0.0009704,0.0009704
28,77.8337,0.86067,0.76926,0.8476,0.71588,0,0.97078,0.94872,0.94561,0.78776,0.94651,0.97436,0.97442,0.48535,0.85271,0.60093,0.87444,0.82313,0,0.0009308,0.0009308,0.0009308
29,80.5337,0.90592,0.94698,0.78893,0.77719,0,0.97097,0.94872,0.94783,0.76564,0.94561,0.97436,0.97551,0.48345,0.92408,0.66171,0.90908,0.8291,0,0.0008912,0.0008912,0.0008912
30,83.2566,0.9034,0.69935,0.76804,0.75395,0,0.97154,0.94872,0.94072,0.78961,0.92226,0.94872,0.92894,0.43431,0.83768,0.62611,0.86204,0.82532,0,0.0008516,0.0008516,0.0008516
31,85.9344,0.78415,0.75295,0.73762,0.7151,0,0.97431,0.97255,0.96962,0.80193,0.94811,0.97436,0.97335,0.4622,0.8305,0.60076,0.81699,0.82299,0,0.000812,0.000812,0.000812
32,88.6216,0.76315,0.72621,0.73642,0.71934,0,0.97429,0.97189,0.96513,0.79271,0.97247,1,0.98475,0.51162,0.76129,0.57045,0.74284,0.82875,0,0.0007724,0.0007724,0.0007724
33,91.3366,0.91992,0.82078,0.72469,0.79676,0,0.97429,0.97174,0.9711,0.78129,0.92238,0.94872,0.92734,0.48429,0.86079,0.60552,0.79812,0.82758,0,0.0007328,0.0007328,0.0007328
34,94.0351,0.87692,0.82175,0.69928,0.77945,0,0.97431,0.97249,0.97038,0.80672,0.89792,0.92308,0.9216,0.49964,0.87168,0.59855,0.76381,0.82471,0,0.0006932,0.0006932,0.0006932
35,96.7321,0.84533,0.73492,0.72453,0.75452,0,0.97426,0.97046,0.97928,0.82638,0.92203,0.94872,0.91321,0.47171,0.78501,0.53269,0.70114,0.82539,0,0.0006536,0.0006536,0.0006536
36,99.4259,0.77395,0.79393,0.69869,0.72397,0,0.94767,0.97436,0.97954,0.83553,0.94767,0.97436,0.94746,0.46812,0.82295,0.51775,0.68418,0.82854,0,0.000614,0.000614,0.000614
37,102.128,0.90354,1.08923,0.66386,0.79914,0,0.97293,1,0.99125,0.81199,0.97293,1,0.99125,0.48588,0.86755,0.45359,0.72038,0.82986,0,0.0005744,0.0005744,0.0005744
38,104.823,0.8119,0.71176,0.69422,0.77806,0,0.94814,0.97436,0.98791,0.81749,0.89824,0.92308,0.88296,0.4547,0.81577,0.53513,0.68531,0.82734,0,0.0005348,0.0005348,0.0005348
39,107.533,0.85353,0.81073,0.68955,0.80543,0,0.97347,1,0.992,0.82087,0.89846,0.92308,0.87312,0.45965,0.83789,0.59551,0.7044,0.82783,0,0.0004952,0.0004952,0.0004952
40,110.274,0.9142,0.83773,0.65665,0.77276,0,0.97342,1,0.9925,0.81858,0.9484,0.97436,0.95457,0.48816,0.80721,0.57923,0.69436,0.82956,0,0.0004556,0.0004556,0.0004556
41,113.856,0.79899,0.78218,0.7304,0.79194,0,0.97329,1,0.99375,0.80891,0.94828,0.97436,0.95169,0.47251,0.77606,0.60622,0.72206,0.82838,0,0.000416,0.000416,0.000416
42,116.532,0.73836,0.86417,0.6881,0.78811,0,0.97298,1,0.99375,0.78902,0.94803,0.97436,0.95088,0.43786,0.85049,0.72509,0.70671,0.83092,0,0.0003764,0.0003764,0.0003764
43,119.201,0.77057,0.68331,0.69346,0.78724,0,0.97428,0.97142,0.97295,0.81794,0.94797,0.97436,0.95514,0.46286,0.83917,0.61356,0.66493,0.82645,0,0.0003368,0.0003368,0.0003368
44,121.873,0.70998,0.69831,0.69769,0.78276,0,0.97271,1,0.992,0.80885,0.92278,0.94872,0.91765,0.39865,0.82256,0.56142,0.65941,0.83189,0,0.0002972,0.0002972,0.0002972
45,124.555,0.7334,0.7841,0.67233,0.81141,0,0.97307,1,0.9925,0.8133,0.92313,0.94872,0.91593,0.36307,0.825,0.56915,0.67615,0.83242,0,0.0002576,0.0002576,0.0002576
46,127.238,0.71957,0.6996,0.66851,0.78434,0,0.97317,1,0.992,0.83405,0.89831,0.92308,0.88752,0.45414,0.76582,0.58076,0.65236,0.82705,0,0.000218,0.000218,0.000218
47,129.898,0.72767,0.69702,0.63111,0.78277,0,0.97314,1,0.992,0.84152,0.89825,0.92308,0.88311,0.47875,0.71042,0.60777,0.6411,0.82562,0,0.0001784,0.0001784,0.0001784
48,132.588,0.70796,0.61826,0.63085,0.80252,0,0.97305,1,0.992,0.84758,0.92311,0.94872,0.9095,0.49604,0.71273,0.5831,0.60892,0.82574,0,0.0001388,0.0001388,0.0001388
49,135.28,0.73482,0.73287,0.66179,0.79383,0,0.973,1,0.99125,0.84388,0.92306,0.94872,0.90916,0.48536,0.73812,0.56712,0.62272,0.82593,0,9.92e-05,9.92e-05,9.92e-05
50,137.941,0.65709,0.68407,0.62051,0.75822,0,0.97302,1,0.992,0.84275,0.92308,0.94872,0.9095,0.48224,0.75528,0.5551,0.63381,0.82617,0,5.96e-05,5.96e-05,5.96e-05
