epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.66545,2.53923,3.17119,7.05732,1.00967,0,0.00275,0.84615,0.0079,0.00382,0.00325,1,0.00968,0.00558,1.32242,1.25441,5.9452,0.83376,0,0.0002,0.0002,0.0002
2,7.45152,1.44924,1.47853,4.15186,0.80074,0,0.00275,0.84615,0.00532,0.00129,0.00325,1,0.00767,0.00466,1.2818,1.0839,5.83681,0.84016,0,0.000411684,0.000411684,0.000411684
3,10.1956,1.41735,1.62589,3.44913,0.81406,0,0.00125,0.38462,0.00053,0.00015,0.00317,0.97436,0.01242,0.0086,1.1573,0.96573,5.71482,0.83943,0,0.000614656,0.000614656,0.000614656
4,12.9144,1.21306,1.31227,3.02583,0.81709,0,0.00192,0.58974,0.00182,0.00098,0.00308,0.94872,0.00936,0.00694,1.40638,0.91067,5.55219,0.85624,0,0.000808916,0.000808916,0.000808916
5,15.6415,1.20345,0.96049,2.63386,0.78499,0,0.00258,0.79487,0.00388,0.00222,0.00275,0.84615,0.00503,0.0027,1.40764,1.00476,5.47613,0.8476,0,0.000994464,0.000994464,0.000994464
6,18.3715,1.22366,1.02473,2.49522,0.80976,0,0.00308,0.94872,0.15937,0.10712,0.00308,0.94872,0.15937,0.0693,1.18398,1.06775,4.70125,0.84288,0,0.0011713,0.0011713,0.0011713
7,21.0861,1.22843,1.21874,2.21862,0.81691,0,0.00308,0.94872,0.06752,0.05497,0.003,0.92308,0.06691,0.03908,1.16679,0.8904,4.77232,0.84576,0,0.00133942,0.00133942,0.00133942
8,23.7996,1.18965,1.08673,2.17422,0.79251,0,0.00317,0.97436,0.36636,0.26654,0.00317,0.97436,0.30217,0.11898,1.0392,0.85366,3.81127,0.83908,0,0.00149884,0.00149884,0.00149884
9,26.514,1.28312,1.02652,2.17433,0.80287,0,0.31748,0.59644,0.362,0.25284,0.31748,0.59644,0.362,0.17051,1.11696,0.84082,3.44209,0.84439,0,0.00164954,0.00164954,0.00164954
10,29.259,1.32244,1.24171,1.91956,0.81772,0,0.93719,0.94872,0.95615,0.6261,0.89392,0.89744,0.90061,0.30161,1.58405,0.83545,2.50948,0.89646,0,0.0016436,0.0016436,0.0016436
11,31.977,1.21256,1.30216,1.74693,0.79105,0,0.97425,0.97017,0.96664,0.74481,0.89735,0.89665,0.90416,0.40073,1.05501,0.93894,1.9453,0.83802,0,0.001604,0.001604,0.001604
